,ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,long,lat
660,671,Saint-Laurent,Marcel-Laurin,parc à chien,boul Thimens/rue Varin,,,,orthophotographies,289196.98,5040945.13,-73.699683311725,45.5082522457285
661,672,Saint-Laurent,Marcel-Laurin,piste d'athlétisme,rue Robert-Peary,,,,orthophotographies,288892.57,5041006.49,-73.7035810360306,45.5087975089578
662,673,Saint-Laurent,Marcel-Laurin,soccer,boul Poirier,,,,orthophotographies,288589.49,5041012.62,-73.7074599882133,45.5088456904097
663,674,Saint-Laurent,Marcel-Laurin,soccer,boul Poirier,,,,orthophotographies,288667.0,5040947.33,-73.7064658839616,45.5082599845165
664,675,Saint-Laurent,Marcel-Laurin,près de PolyvalenteÉ.-Legault,boul Thimens/rue Samson,,,,orthophotographies,288747.79,5040782.46,-73.7054265651118,45.5067782881147
665,676,Saint-Laurent,Bélanger,,rue Cardinal/boul de la Côte-Vertue,,,,orthophotographies,290351.02,5041515.0,-73.6849310870455,45.513405009848604
666,677,Saint-Laurent,Hartenstein,tennis,rue Cardinal/rue Tassé,,,,orthophotographies,289901.82,5041830.68,-73.6906899159788,45.51623616047421
667,678,Saint-Laurent,Hartenstein,bute pour glisser,rue Cardinal/rue Tassé,,,,orthophotographies,289877.89,5041910.2,-73.6909986280761,45.5169511982506
668,679,Saint-Laurent,Hartenstein,extérieur du chalet,rue Gohier,,,,orthophotographies,289869.63,5041999.38,-73.69110706944899,45.5177534949469
669,680,Saint-Laurent,Hartenstein,intérieur du chalet,rue Gohier,,,accès restreint,orthophotographies,289863.86,5042005.69,-73.69118111666991,45.5178101509967
670,681,Saint-Laurent,Hartenstein,BBQ,rue Décarie/rue Deguire,,,,orthophotographies,289818.22,5042137.8,-73.69176933897191,45.518997944540004
671,682,Saint-Laurent,Cousineau,chalet,ave O'Brien/rue Lapointe,,,,orthophotographies,289913.65,5042415.07,-73.69055624744449,45.5214949620397
672,683,Saint-Laurent,Cousineau,module de jeux,ave O'Brien/rue Lapointe,,,,orthophotographies,289828.85,5042381.36,-73.6916407140079,45.5211898117047
673,684,Saint-Laurent,Cousineau,parc à chien,ave O'Brien/rue Lapointe,,,,orthophotographies,289827.3,5042446.64,-73.69166254940579,45.5217771907477
674,685,Saint-Laurent,Harris,chalet,ave Sainte-Croix/rue Tassé,,,,orthophotographies,290340.34,5042148.57,-73.68508646741941,45.519105880896596
675,686,Saint-Laurent,Beaulac,chalet,rue Elizabeth,,,,orthophotographies,290917.49,5042236.32,-73.6777013569383,45.5199072180595
676,687,Saint-Laurent,L'Archevêque,,rue Couvrette (face au #1275),,,,orthophotographies,291095.56,5042816.01,-73.6754382164202,45.525126998798704
677,688,Saint-Laurent,Saint-Laurent,tennis,rue Dutrisac/croissant du Ruisseau,,,,orthophotographies,290080.87,5043086.42,-73.6884358873168,45.5275395533222
678,689,Saint-Laurent,Saint-Laurent,module de jeux,rue Dutrisac/place Dutrisac,,,,orthophotographies,290030.28,5042937.81,-73.6890790622582,45.526201239303504
679,690,Saint-Laurent,Saint-Laurent,baseball,rue Poirier/rue Muir,,,,orthophotographies,290253.06,5043086.18,-73.6862314970658,45.5275410087539
680,691,Saint-Laurent,Saint-Laurent,,rue Poirier/rue Muir,,,localisation approx.,localisation approx.,290251.52,5043057.64,-73.6862503646768,45.527284163870895
681,692,Saint-Laurent,Saint-Laurent,,rue Poirier/rue Muir,,,localisation approx.,localisation approx.,290257.64,5043066.18,-73.686172270047,45.5273611374465
682,693,Saint-Laurent,Saint-Laurent,intérieur du chalet,rue Poirier/rue Barré,,,,orthophotographies,290154.77,5043073.2,-73.68748942147721,45.5274221519237
683,694,Saint-Laurent,Painter,tennis,rue Meloche,,,accès restreint,orthophotographies,291037.02,5043227.51,-73.6761991761614,45.52882866634479
684,695,Saint-Laurent,Painter,chalet,rue Meloche,,,,orthophotographies,291059.32,5043263.6,-73.67591469630959,45.5291538566802
685,696,Saint-Laurent,Caron,,boul Montpellier/rue Muir,,,,orthophotographies,291357.42,5042317.93,-73.67207235167841,45.5206501956637
686,697,Saint-Laurent,Caron,,rue Muir/place Fortier,,,,orthophotographies,291407.82,5042407.96,-73.6714296673574,45.521461288126105
687,698,Saint-Laurent,Goulet,,rue Connaught/rue d'Oxford,,,,orthophotographies,289031.43,5042470.32,-73.7018510225909,45.521972723976
688,699,Saint-Laurent,Marlborough,tennis (intérieur),rue Beauzèle/rue Carroll,,,accès restreint,orthophotographies,287612.26,5042594.14,-73.72002181156259,45.5230533524969
689,700,Saint-Laurent,Marlborough,tennis (extérieur),rue Beauzèle/rue Carroll,,,,orthophotographies,287610.5,5042595.22,-73.72004437919949,45.523063027299
690,701,Saint-Laurent,Marlborough,piscine,rue Beauzèle/rue Carroll,,,accès restreint,orthophotographies,287541.47,5042506.13,-73.7209248943373,45.522259660291994
691,702,Saint-Laurent,Noël-Nord,roller hockey,rue Baker/rue Geoffrion,,,,orthophotographies,286836.75,5041984.35,-73.7299267558719,45.517546708349
692,703,Saint-Laurent,Noël-Nord,soccer,rue McCarthy,,,,orthophotographies,286961.66,5041939.21,-73.7283262977365,45.5171437303837
693,704,Saint-Laurent,Noël-Nord,module de jeux,rue Baker/rue Geoffrion,,,,orthophotographies,286876.75,5041990.6,-73.72941499487959,45.5176039773336
694,705,Saint-Laurent,Noël-Sud,tennis,rue Noorduyn,,,,orthophotographies,287050.53,5041774.41,-73.7271828257003,45.5156630722198
695,706,Saint-Laurent,Noël-Sud,module de jeux,rue Matis,,,,orthophotographies,287072.84,5041713.52,-73.7268950711347,45.515115730842396
696,707,Saint-Laurent,Jerry-Shears,,rue Pierre-Dagenais/chemin du Bois-Franc,,,,orthophotographies,287214.39,5040942.98,-73.7250557096298,45.5081857286881
697,708,Saint-Laurent,Philippe-Laheurte,soccer,ave Ernest-Hemingway/rue Robert-Choquette,,,,orthophotographies,287793.18,5040721.29,-73.7176408844989,45.5062052358166
698,709,Saint-Laurent,Philippe-Laheurte,module de jeux,ave Ernest-Hemingway/boul Cavendish,,,,orthophotographies,287930.92,5040778.31,-73.7158801622499,45.5067216671477
699,710,Saint-Laurent,Philippe-Laheurte,pavillon,ave Ernest-Hemingway/rue John-Lyman,,,,orthophotographies,287242.45,5040233.58,-73.72467121465179,45.5018030005472
700,711,Saint-Laurent,Sir-Edmund-Hillary,,rue de l'Everest (face au #1600),,,,orthophotographies,288975.15,5041361.63,-73.702535656865,45.511995065947296
701,712,Saint-Laurent,Carré Square Magellan,,rue de l'Écu (face au #2724),,,,orthophotographies,288169.73,5041317.46,-73.71284232358359,45.511578866842
702,713,Saint-Laurent,Roman-Zytynsky,,rue Quenneville/rue Varry,,,,orthophotographies,290885.13,5043202.41,-73.6781430103311,45.5285997919296
703,714,Saint-Laurent,Robert-Mitchell,,rue Crevier/rue Saint-Louis,,,,orthophotographies,291237.58,5040603.59,-73.6735589391137,45.5052216034387
704,715,Saint-Laurent,Square du Nordet,,rue des Équinoxes/rue des Montérégiennes,,,,orthophotographies,288146.81,5041909.53,-73.7131557748133,45.5169059730845
705,716,Saint-Laurent,du Bois-Franc,,rues des Andes/rue Modigliani,,,,orthophotographies,287855.09,5041170.07,-73.71686411783321,45.5102450254455
706,717,Saint-Laurent,du Bois-Franc,,rue de l'Équatuer/rue du Chinook,,,,orthophotographies,288100.83,5041497.87,-73.7137302779272,45.513200613220995
707,718,Saint-Laurent,Petit,,rue Poirier/chemin Laval,,,,orthophotographies,289559.44,5042286.18,-73.69508636198809,45.5203275111664
708,719,Saint-Laurent,Dr-Bernard-Paquet,,rue Jean-Gascon/rue Guy-Hoffmann,,,,orthophotographies,286564.58,5040835.68,-73.73336773794229,45.5072035191521
709,720,Saint-Laurent,Raymond-Lagacé,,rue Jean-Gascon/rue Pierre-Dagenais,,,,orthophotographies,287113.26,5041149.0,-73.7263573634741,45.5100370116338
710,721,Saint-Laurent,place Rodolphe-Rousseau,,boul Edouard-Laurin/rue Gohier,,,,orthophotographies,290554.16,5041486.87,-73.6823303139621,45.5131560652629
711,722,Saint-Laurent,Guillaume-Bruneau ou Henri-Thomas-Scott,,rue Jean-Gascon/rue Vittorio-Fiorucci,,,,orthophotographies,286911.65,5041037.61,-73.72893351230759,45.5090295436208
712,723,Saint-Laurent,bassin du Suroît,,rue de l'Équatuer/rue du Chinook,,,,orthophotographies,288148.52,5041524.09,-73.7131207952539,45.5134376903967
713,724,Montréal-Nord,Oscar,abri-soleil,ave Oscar/rue de Mayenne,,,,orthophotographies,293258.41,5049125.89,-73.6478993194659,45.5819444876536
714,725,Montréal-Nord,Oscar,intérieur du chalet,ave Oscar/rue de Mayenne,,,accès restreint,orthophotographies,293225.79,5049161.46,-73.64831816872521,45.582264014352596
715,726,Montréal-Nord,Oscar,intérieur du chalet,ave Oscar/rue de Mayenne,,,accès restreint,orthophotographies,293229.15,5049165.0,-73.64827519586909,45.5822959241387
716,727,Montréal-Nord,Ottawa,intérieur de la bibliothèque,ave de Belleville/rue Fleury Est,,,accès restreint,orthophotographies,293695.93,5049123.19,-73.64229269043891,45.581927313331796
717,728,Montréal-Nord,Ottawa,intérieur du chalet,ave de Belleville/rue Fleury Est,,,accès restreint,orthophotographies,293699.31,5049065.69,-73.64224807109441,45.5814099662835
718,729,Montréal-Nord,Ottawa,soccer,ave de Belleville/rue Prieur Est,,,,orthophotographies,293604.53,5049188.88,-73.6434654341296,45.5825169452518
719,730,Montréal-Nord,Ottawa,module de jeux,ave de Belleville/rue Fleury Est,,,,orthophotographies,293661.78,5049153.43,-73.64273099246542,45.5821988753156
720,731,Montréal-Nord,Ménard,intérieur du chalet,place Ménard/ave Plaza,,,accès restreint,orthophotographies,293869.13,5049690.94,-73.6400859379683,45.587038826619796
721,732,Montréal-Nord,Ménard,module de jeux,place Ménard/ave Plaza,,,,orthophotographies,293872.04,5049677.71,-73.64004834857471,45.5869198252259
722,733,Montréal-Nord,Eusèbe-Ménard,sentier,boul Gouin Est/ave de Bruxelles,,,,orthophotographies,293174.09,5050374.77,-73.64900956234759,45.593180838164606
723,734,Montréal-Nord,Sabrevois,pataugeoire,ave des Récollets/rue Sabrevois,,,,orthophotographies,294398.56,5049327.08,-73.633293231421,45.5837728327133
724,735,Montréal-Nord,Pilon,abri-soleil,rue Arthur-Champoux/ave Gariépy,,,,orthophotographies,293698.83,5050356.08,-73.6422835538294,45.5930212353444
725,736,Montréal-Nord,Pilon,parc à chien,rue Arthur-Champoux/ave Gariépy,,,,orthophotographies,293697.39,5050447.71,-73.64230409402779,45.59384572286879
726,737,Montréal-Nord,Maurice-Bélanger,intérieur du chalet,ave Hébert/rue Forest,,,accès restreint,orthophotographies,294526.9,5049771.29,-73.6316579172469,45.5877718638569
727,738,Montréal-Nord,Maurice-Bélanger,,rue Forest/ave de l'Hôtel-de-Ville,,,,orthophotographies,294523.2,5049825.77,-73.6317064820244,45.588262035057
728,739,Montréal-Nord,Paul-Sauvé,intérieur du chalet,ave Éthier/rue de Bayonne,,,accès restreint,orthophotographies,294245.0,5051073.87,-73.6352988408423,45.5994885989553
729,740,Montréal-Nord,Paul-Sauvé,pataugeoire,ave Éthier/rue de Bayonne,,,,orthophotographies,294228.63,5051034.86,-73.63550783347921,45.5991373284035
730,741,Montréal-Nord,Paul-Sauvé,,boul Henri-Bourassa Est/ave Bellevois,,,,orthophotographies,294210.59,5051241.77,-73.6357435658829,45.600998882084106
731,742,Montréal-Nord,Aimé-Léonard,sentier,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293992.41,5052005.61,-73.63855728326959,45.60786874290629
732,743,Montréal-Nord,Aimé-Léonard,module de jeux,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293944.77,5051970.93,-73.63916727212009,45.6075559416117
733,744,Montréal-Nord,Aimé-Léonard,extérieur du chalet,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293931.2,5052094.51,-73.6393439963553,45.6086677317225
734,745,Montréal-Nord,Saint-Laurent,intérieur du chalet,ave Salk/rue de la Gare,,,accès restreint,orthophotographies,294753.66,5051802.5,-73.6287936212261,45.606052529743
735,746,Montréal-Nord,Saint-Laurent,soccer,ave Alfred/boul Henri-Bourassa Est,,,,orthophotographies,294737.66,5051650.25,-73.6289956000353,45.6046823154285
736,747,Montréal-Nord,Saint-Laurent,sentier,rue de la Gare/ave Edger,,,,orthophotographies,294667.21,5051845.29,-73.6299027921314,45.6064363097501
737,748,Montréal-Nord,Charleroi,intérieur du chalet,ave Alfred/rue Louis-Francoeur,,,accès restreint,orthophotographies,295171.39,5051072.73,-73.62342395469359,45.599491787678296
738,749,Montréal-Nord,Charleroi,baseball,rue Louis-Francoeur (face au #5273),,,,orthophotographies,295240.18,5051149.11,-73.62254367097721,45.60018002377811
739,750,Montréal-Nord,Lacordaire,intérieur du chalet,boulevard Lacordaire (#12576),,,accès restreint,orthophotographies,294503.7,5052927.51,-73.6320218369348,45.6161719768647
740,751,Montréal-Nord,Lacordaire,module de jeux,boulevard Lacordaire (#12576),,,,orthophotographies,294505.13,5052946.76,-73.6320039075628,45.61634521392671
741,752,Montréal-Nord,Henri-Bourassa,extérieur du chalet,ave Laurier/rue Pascal,,,,orthophotographies,295178.53,5052834.13,-73.6233671696083,45.615341393922606
742,753,Montréal-Nord,Henri-Bourassa,soccer,ave Laurier/rue Pascal,,,,orthophotographies,295208.62,5052862.62,-73.62298191475809,45.6155981695257
743,754,Montréal-Nord,Henri-Bourassa,module de jeux,ave Laurier/rue Pascal,,,,orthophotographies,295138.44,5052853.46,-73.6238815881962,45.6155147734799
744,755,Montréal-Nord,Le Carignan,intérieur du chalet,ave P.-M.-Favier/rue Renoir,,,,orthophotographies,295763.22,5052206.31,-73.6158586163698,45.6096999695726
745,756,Montréal-Nord,Le Carignan,intérieur du centre communautaire,ave P.-M.-Favier/rue Renoir,,,,orthophotographies,295765.58,5052232.58,-73.6158288459282,45.6099363840953
746,757,Montréal-Nord,Monty,intérieur du chalet,ave Monty (entre le #12357 et le #12351),,,accès par la ruelle,orthophotographies,295453.75,5053476.26,-73.61985059608041,45.6211231825371
747,758,Montréal-Nord,Monty,extérieur du chalet,ave Monty (entre le #12357 et le #12351),,,accès par la ruelle,orthophotographies,295447.02,5053465.4,-73.6199366889405,45.6210253712561
748,759,Montréal-Nord,Tardif,intérieur du chalet,rue Tardif ( à l'est de #6453),,,accès par la ruelle,orthophotographies,295713.16,5053111.75,-73.6165172941125,45.6178466800687
749,760,Montréal-Nord,Tardif,module de jeux,rue Tardif ( à l'est de #6453),,,accès par la ruelle,orthophotographies,295691.42,5053154.61,-73.6167968584383,45.61823205953179
750,761,Montréal-Nord,Gouin,,boul Gouin Est (face au #6700),,,,orthophotographies,295220.42,5054148.33,-73.6228558790487,45.6271674367124
751,762,Montréal-Nord,Gouin,parc à chien,boul Gouin Est (face au #6700),,,,orthophotographies,295192.43,5054126.75,-73.62321441800641,45.6269728686784
752,763,Montréal-Nord,Calixa-Lavallée (école),basketball,boul Henri-Bourassa Est/ave Pelletier,,,privé (commission scolaire),orthophotographies,293975.19,5050975.97,-73.6387552080074,45.5986035216403
753,764,Montréal-Nord,Racette,,ave Racette (face au #11424),,,,orthophotographies,294731.06,5051420.55,-73.62907546954591,45.602615322244795
754,765,Montréal-Nord,piste cyclabe (boul Gouin),piste cyclable,à la hauteur de l'intersection du boul Gouin Est et de l'ave,,,localisation approx.,localisation approx.,293579.72,5051154.84,-73.64382854086229,45.6002067689665
755,766,Saint-Laurent,Square du Rambler,,,,,,orthophotographies,288382.02,5041933.79,-73.7101459913431,45.5171298510797
756,769,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296489.61,5033287.95,-73.60622487497909,45.439474430638704
757,770,L'Île-Bizard–Sainte-Geneviève,parc nature de Boisé-de-l'Île-Bizard,,,,,Grands Parcs,,273552.25,5041917.13,-73.89995868198041,45.5164730454626
758,771,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284788.56,5041373.06,-73.7561180604378,45.511990347546394
759,772,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284792.52,5041364.37,-73.75606702395909,45.511912265715104
760,773,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284215.1,5040734.85,-73.7634306680711,45.50623083480699
761,774,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,284206.41,5040750.12,-73.76354251639259,45.5063679827899
762,775,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,283843.55,5040006.84,-73.7681543430062,45.4996688952515
763,776,Saint-Laurent,parc nature du Bois-de-Liesse,,,,,Grands Parcs,,283822.24,5040012.46,-73.7684272585848,45.49971882547379
764,778,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270516.62,5036117.03,-73.9384073436021,45.4641400163233
765,779,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270560.49,5036094.26,-73.9378447753638,45.46393727837071
766,780,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270578.49,5035960.7,-73.93760530533609,45.4627363567996
767,781,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270709.71,5036933.13,-73.9359948389611,45.471492917773894
768,782,Pierrefonds-Roxboro,parc nature du cap-Saint-Jacques,,,,,Grands Parcs,,270766.4,5036887.29,-73.9352666530871,45.471083204371794
769,783,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature du Ruissesau-De-Montigny,,,,,Grands Parcs,,296645.82,5053358.79,-73.6045622819175,45.6200811746924
770,784,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297995.91,5043541.48,-73.587113200291,45.531756563614294
771,785,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297900.14,5043482.44,-73.58833851658541,45.531224357953604
772,786,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297958.47,5043593.33,-73.5875932707014,45.5322227627523
773,787,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,298031.92,5043669.66,-73.5866539337464,45.5329103257953
774,788,Plateau-Mont-Royal,Sir-Wilfrid-Laurier,,,,,Grands Parcs /localisation approx.,localisation approx.,297827.42,5043709.26,-73.589272774503,45.533264645169794
775,789,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292754.34,5049100.58,-73.6543580604167,45.581708196056795
776,790,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292531.11,5048822.74,-73.65721163361529,45.5792042146597
777,791,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292515.82,5048777.67,-73.65740642336199,45.5787983925638
778,792,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292339.25,5048740.64,-73.6596679941887,45.578462046518794
779,793,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292283.96,5048512.0,-73.6603706028604,45.5764036879989
780,794,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292157.6,5048430.24,-73.66198755785759,45.575665704342
781,795,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292036.85,5048398.59,-73.66353389929891,45.575378704464505
782,796,Ahuntsic-Cartierville,parc nature de l'Île-de-la-Visitation,,,,,Grands Parcs,,292775.13,5049257.58,-73.654095514485,45.5831212844373
783,797,Anjou,Du Mail (Chénier),piscine,5555 ave de l'Aréna,,,accès restreint,orthophotographies,301416.09,5051451.17,-73.54337918447649,45.602955532163705
784,798,Lachine,René-Lévesque,,,,,Grands Parcs,,291463.33,5032183.72,-73.6704415291883,45.4294602039142
785,799,Lachine,René-Lévesque,,,,,Grands Parcs,,291458.52,5032175.35,-73.6705027735473,45.429384794671
786,800,LaSalle,des Rapides,chalet,boul LaSalle/40e ave,,,Grands Parcs,,295775.91,5030668.8,-73.6152995043729,45.415897079633
787,801,LaSalle,des Rapides,chalet,boul LaSalle/boul Bishop-Power,,,Grands Parcs,,297324.07,5031863.29,-73.5955370428475,45.4266640082063
788,802,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296284.95,5033570.57,-73.6088457604698,45.442015127547705
789,803,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296954.34,5033280.75,-73.60028450856841,45.4394150110186
790,804,Le Sud-Ouest,Angrignon,sentier,,,,Grands Parcs,,297249.46,5033955.79,-73.5965225994334,45.445492617026204
791,805,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296905.5,5033962.89,-73.60091973165991,45.4455527062677
792,806,Le Sud-Ouest,Angrignon,sentier,,,,Grands Parcs,,297040.89,5034005.64,-73.5991896436921,45.4459389084864
793,807,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296970.77,5033902.65,-73.6000843921209,45.4450113702856
794,808,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296994.83,5033863.79,-73.59977620689959,45.4446619573138
795,809,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296429.37,5033315.5,-73.6069953405232,45.4397216210676
796,810,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,297091.99,5033529.55,-73.59852894308591,45.4416553729242
797,811,Le Sud-Ouest,Angrignon,,,,,Grands Parcs,,296876.18,5033180.01,-73.6012819390826,45.438507618873
798,812,Le Sud-Ouest,Angrignon,sentier,chemin du parc Angrignon,,,Grands Parcs,,296518.18,5033839.09,-73.6058689639818,45.4444342093047
799,813,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298123.35,5041765.4,-73.58545737926791,45.5157759402544
800,814,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298177.52,5041685.03,-73.584762948647,45.5150532553701
801,815,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298209.49,5041664.65,-73.58435348226149,45.5148701708428
802,816,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298291.64,5041660.97,-73.5833019774264,45.5148378283216
803,817,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298045.81,5041902.52,-73.5864517360189,45.517009053928696
804,818,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298012.61,5041969.86,-73.5868776186672,45.5176146836084
805,819,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,297969.43,5042000.67,-73.58743074518,45.51789150252149
806,820,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,297851.71,5041889.59,-73.5889359752777,45.5168907974043
807,821,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298486.85,5041559.2,-73.58080213230559,45.513923855507095
808,822,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299512.98,5043258.32,-73.56768701516441,45.5292217427946
809,823,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299344.31,5043250.82,-73.5698463258569,45.5291529550049
810,824,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299265.82,5043164.23,-73.5708502130028,45.5283731662185
811,825,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299306.41,5043102.94,-73.5703298808862,45.527821976388395
812,826,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299257.25,5043098.84,-73.5709591887615,45.5277846938052
813,827,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299541.25,5043136.32,-73.5673237794031,45.528124153889706
814,828,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299513.48,5043067.21,-73.56767855158871,45.5275020654384
815,829,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299632.73,5043030.91,-73.5661515194689,45.5271763183111
816,830,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299509.57,5042934.05,-73.5677271698308,45.5263038106635
817,831,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299117.23,5042996.46,-73.57275055861659,45.526862311629
818,832,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299179.09,5042790.75,-73.5719562703872,45.525011755057704
819,833,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299260.1,5042802.72,-73.5709193542654,45.52512011430839
820,834,Plateau-Mont-Royal,La Fontaine,,,,,Grands Parcs,,299570.13,5042528.53,-73.56694756338909,45.5226552404959
821,835,Plateau-Mont-Royal,Jeanne-Mance,,,,,Grands Parcs,,298215.47,5041716.22,-73.5842776355914,45.51533427489839
822,836,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,302969.03,5060942.37,-73.5235073560208,45.68836510935039
823,837,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,303607.22,5061787.0,-73.5153158723665,45.695966592568105
824,838,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,303573.41,5061624.86,-73.51574959955751,45.694507577419394
825,839,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,305151.96,5060290.26,-73.4954817477005,45.6824996602096
826,840,Rivière-des-Prairies–Pointe-aux-Trembles,parc nature de la Pointe-aux-Prairies,,,,,Grands Parcs,,304219.18,5060032.98,-73.5074559127872,45.6801844627021
827,841,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297968.62,5040392.46,-73.58741870768809,45.5034201653086
828,842,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,298013.69,5040425.75,-73.586842424373,45.5037201625941
829,843,Ville-Marie,du Mont-Royal,sentier,,,,Grands Parcs,,297993.79,5040245.38,-73.5870945759392,45.5020969236876
830,844,Ville-Marie,du Mont-Royal,chemin,,,,Grands Parcs,,297633.33,5040316.15,-73.5917081726892,45.5027301319067
831,845,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297988.78,5040500.19,-73.5871622236582,45.5043897620654
832,846,Ville-Marie,du Mont-Royal,chalet,,,,Grands Parcs,,297922.91,5040477.85,-73.5880048385643,45.504188091121904
833,847,Ville-Marie,du Mont-Royal,chalet,près du lac des castors,,,Grands Parcs,,297051.25,5039859.87,-73.5991495321484,45.498618109805605
834,848,Ville-Marie,du Mont-Royal,chemin,,,,Grands Parcs,,297823.63,5040457.05,-73.5892750088408,45.503999938189004
835,849,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,,Grands Parcs,,297034.91,5039898.87,-73.5993592283718,45.4989688666521
836,850,Ville-Marie,du Mont-Royal,stationnement,,,,Grands Parcs,,297497.16,5040174.42,-73.5934485576128,45.501453373652495
837,851,Ville-Marie,du Mont-Royal,,ave du Parc/rue Prince Arthur Ouest,,,Grands Parcs,,298561.12,5041257.25,-73.5798477077722,45.51120745512429
838,852,Ville-Marie,du Mont-Royal,,près de rue Hill Parck Circle,,,Grands Parcs,,297163.55,5039699.85,-73.5977101033573,45.4971794199827
839,853,Ville-Marie,du Mont-Royal,sentier,près du lac des castors,,,Grands Parcs,,297217.35,5039731.56,-73.5970222112183,45.4974653468355
